title,year,imdb_rating
The Apartment,(1960),8.2
Double Indemnity,(1944),8.2
To Kill a Mockingbird,(1962),8.2
Up,(2009),8.2
Indiana Jones and the Last Crusade,(1989),8.2
Heat,(1995),8.2
L.A. Confidential,(1997),8.2
Die Hard,(1988),8.2
Green Book,(2018),8.2
Monty Python and the Holy Grail,(1975),8.2
Yojimbo,(1961),8.2
Batman Begins,(2005),8.2
Rashomon,(1950),8.2
Downfall,(2004),8.2
Children of Heaven,(1997),8.2
Unforgiven,(1992),8.2
Ran,(1985),8.2
Some Like It Hot,(1959),8.2
Howl's Moving Castle,(2004),8.2
All About Eve,(1950),8.2
A Beautiful Mind,(2001),8.2
Casino,(1995),8.2
The Great Escape,(1963),8.2
The Wolf of Wall Street,(2013),8.2
Pan's Labyrinth,(2006),8.2
The Secret in Their Eyes,(2009),8.1
There Will Be Blood,(2007),8.1
"Lock, Stock and Two Smoking Barrels",(1998),8.1
My Neighbor Totoro,(1988),8.1
Raging Bull,(1980),8.1
Judgment at Nuremberg,(1961),8.1
The Treasure of the Sierra Madre,(1948),8.1
Dial M for Murder,(1954),8.1
"Three Billboards Outside Ebbing, Missouri",(2017),8.1
Shutter Island,(2010),8.1
The Gold Rush,(1925),8.1
Chinatown,(1974),8.1
My Father and My Son,(2005),8.1
No Country for Old Men,(2007),8.1
V for Vendetta,(2005),8.1
Inside Out,(2015),8.1
The Seventh Seal,(1957),8.1
The Elephant Man,(1980),8.1
The Thing,(1982),8.1
Warrior,(2011),8.1
The Sixth Sense,(1999),8.1
Trainspotting,(1996),8.1
Jurassic Park,(1993),8.1
Klaus,(2019),8.1
The Truman Show,(1998),8.1
Gone with the Wind,(1939),8.1
Finding Nemo,(2003),8.1
Wild Strawberries,(1957),8.1
Blade Runner,(1982),8.1
Stalker,(1979),8.1
Kill Bill: Vol. 1,(2003),8.1
Memories of Murder,(2003),8.1
The Bridge on the River Kwai,(1957),8.1
Fargo,(1996),8.1
Room,(2015),8.1
The Third Man,(1949),8.1
Wild Tales,(2014),8.1
Gran Torino,(2008),8.1
On the Waterfront,(1954),8.1
Tokyo Story,(1953),8.1
The Deer Hunter,(1978),8.1
Anand,(1971),8.1
In the Name of the Father,(1993),8.1
Mary and Max,(2009),8.1
The Grand Budapest Hotel,(2014),8.1
Gone Girl,(2014),8.1
Before Sunrise,(1995),8.1
Catch Me If You Can,(2002),8.1
Hacksaw Ridge,(2016),8.1
Persona,(1966),8.1
Andhadhun,(2018),8.1
Autumn Sonata,(1978),8.1
Prisoners,(2013),8.1
The Big Lebowski,(1998),8.1
Sherlock Jr.,(1924),8.1
To Be or Not to Be,(1942),8.1
Soul,(2020),8.1
How to Train Your Dragon,(2010),8.1
The General,(1926),8.1
Ford v Ferrari,(2019),8.1
Barry Lyndon,(1975),8.1
12 Years a Slave,(2013),8.1
The Bandit,(1996),8.1
Mr. Smith Goes to Washington,(1939),8.1
Mad Max: Fury Road,(2015),8.1
Million Dollar Baby,(2004),8.1
Dead Poets Society,(1989),8.1
Network,(1976),8.1
Stand by Me,(1986),8.1
Harry Potter and the Deathly Hallows: Part 2,(2011),8.1
Ben-Hur,(1959),8.1
Cool Hand Luke,(1967),8.1
Hachi: A Dog's Tale,(2009),8.1
The Handmaiden,(2016),8.1
Platoon,(1986),8.0
Logan,(2017),8.0
Into the Wild,(2007),8.0
Rush,(2013),8.0
The Wages of Fear,(1953),8.0
Monty Python's Life of Brian,(1979),8.0
La Haine,(1995),8.0
Time of the Gypsies,(1988),8.0
The 400 Blows,(1959),8.0
The Passion of Joan of Arc,(1928),8.0
Spotlight,(2015),8.0
Hotel Rwanda,(2004),8.0
Amores Perros,(2000),8.0
Gangs of Wasseypur,(2012),8.0
Andrei Rublev,(1966),8.0
Rocky,(1976),8.0
"Monsters, Inc.",(2001),8.0
Nausicaä of the Valley of the Wind,(1984),8.0
Rebecca,(1940),8.0
Rififi,(1955),8.0
Rang De Basanti,(2006),8.0
Before Sunset,(2004),8.0
In the Mood for Love,(2000),8.0
"Paris, Texas",(1984),8.0
Portrait of a Lady on Fire,(2019),8.0
It Happened One Night,(1934),8.0
The Invisible Guest,(2016),8.0
Drishyam,(2015),8.0
The Help,(2011),8.0
The Battle of Algiers,(1966),8.0
The Princess Bride,(1987),8.0
Tangerines,(2013),8.0
7 Kogustaki Mucize,(2019),8.0
Three Colors: Red,(1994),8.0
movie_name,year,imdb_rating,votes
WandaVision,(2021),8.0,"39,434"
Fate: The Winx Saga,(2021– ),7.0,"17,627"
Godzilla vs. Kong,(2021),,
Attack on Titan,(2013– ),8.9,"193,343"
Lupin,(2021– ),7.6,"37,769"
Cobra Kai,(2018– ),8.6,"106,710"
Vikings,(2013–2020),8.5,"430,858"
The Mandalorian,(2019– ),8.8,"285,081"
Game of Thrones,(2011–2019),9.3,"1,766,808"
Snowpiercer,(2020– ),6.8,"25,881"
Mortal Kombat,(2021),,
Walker,(2021– ),5.9,"3,516"
Tenet,(2020),7.5,"288,661"
Wonder Woman 1984,(2020),5.4,"151,957"
The Vanished,(2020),5.7,"5,673"
Outside the Wire,(2021),5.4,"26,625"
News of the World,(2020),6.8,"14,141"
The Boys,(2019– ),8.7,"244,578"
Superman and Lois,(2021– ),,
Master,(2021),7.2,"47,831"
Raya and the Last Dragon,(2021),,
Godzilla: King of the Monsters,(2019),6.0,"136,065"
Run Hide Fight,(2020),6.5,"10,921"
NCIS,(2003– ),7.7,"119,423"
Homefront,(I) (2013),6.5,"108,983"
The Last Kingdom,(2015– ),8.4,"84,856"
Godzilla,(2014),6.4,"377,414"
Kong: Skull Island,(2017),6.6,"271,406"
Star Trek: Discovery,(2017– ),7.2,"95,984"
The Suicide Squad,(2021),,
Avengers: Endgame,(2019),8.4,"813,579"
9-1-1,(2018– ),7.7,"21,003"
Disenchantment,(2018– ),7.2,"46,570"
The Marksman,(2021),5.9,"1,442"
Money Heist,(2017– ),8.3,"296,851"
The Witcher,(2019– ),8.2,"299,061"
Band of Brothers,(2001),9.4,"375,935"
The Next Three Days,(2010),7.3,"184,094"
The Karate Kid,(1984),7.3,"197,418"
9-1-1: Lone Star,(2020– ),6.6,"6,528"
Winx Club,(2004– ),6.1,"4,626"
Agents of S.H.I.E.L.D.,(2013–2020),7.5,"199,530"
Batwoman,(2019– ),3.4,"31,919"
Captain Marvel,(2019),6.9,"444,173"
Designated Survivor,(2016–2019),7.5,"77,303"
Star Wars: The Clone Wars,(2008–2020),8.3,"63,131"
The Gentlemen,(2019),7.8,"240,201"
Titans,(I) (2018– ),7.7,"66,368"
FBI,(2018– ),6.8,"10,380"
Chicago Fire,(2012– ),7.9,"38,385"
